object_id,lib,desc,x,y,designator,comment,manufacturer,mpn,pin_count
129,b4654b650e69147ec39a6b967a45e02,,500,350,,,,,
132,b4654b650e69147ec39a6b967a45e02,,260,310,,,,,
139,b4654b650e69147ec39a6b967a45e02,,670,720,,,,,
140,CAP-NP-2,,690,750,,,,,
144,1029c3af85768c4190bb7ad29bc67b5,,790,760,,,,,
146,02cd4be3c70576c341d710602a673aa,,700,600,,,,,
148,SPST-NO_4P,,660,560,,,,,
151,1029c3af85768c4190bb7ad29bc67b5,,790,720,,,,,
153,SPST-NO_4P,,810,560,,,,,
156,CMP-001-0001-4,,280,220,,,,,
157,CMP-001-0001-4,,280,190,,,,,
158,CMP-001-0001-4,,280,160,,,,,
159,CMP-001-0001-4,,280,130,,,,,
160,CMP-001-0001-4,,280,100,,,,,
161,CMP-001-0001-4,,280,70,,,,,
162,CMP-001-0001-4,,280,40,,,,,
173,1029c3af85768c4190bb7ad29bc67b5,,840,680,,,,,
175,1029c3af85768c4190bb7ad29bc67b5,,840,640,,,,,
199,1029c3af85768c4190bb7ad29bc67b5,,1220,790,,,,,
201,1029c3af85768c4190bb7ad29bc67b5,,1220,750,,,,,
204,1029c3af85768c4190bb7ad29bc67b5,,1100,620,,,,,
206,1029c3af85768c4190bb7ad29bc67b5,,1100,580,,,,,
214,1029c3af85768c4190bb7ad29bc67b5,,1220,710,,,,,
216,1029c3af85768c4190bb7ad29bc67b5,,1220,670,,,,,
217,1029c3af85768c4190bb7ad29bc67b5,,1220,630,,,,,
222,1029c3af85768c4190bb7ad29bc67b5,,1220,830,,,,,
233,RES,,1120,670,,,,,
234,CAP-NP-2,,1120,820,,,,,
235,02cd4be3c70576c341d710602a673aa,,1100,790,,,,,
238,b4654b650e69147ec39a6b967a45e02,,1120,700,,,,,
241,CAP,,1120,750,,,,,
243,1029c3af85768c4190bb7ad29bc67b5,,1100,540,,,,,
262,1029c3af85768c4190bb7ad29bc67b5,,1220,590,,,,,
264,CAP-NP-2,,1150,1030,,,,,
265,02cd4be3c70576c341d710602a673aa,,1130,1000,,,,,
268,CAP-NP-2,,1460,580,,,,,
269,02cd4be3c70576c341d710602a673aa,,1440,550,,,,,
274,TXU0202DCUR,,710,300,,,,,
279,b4654b650e69147ec39a6b967a45e02,,850,450,,,,,
280,CAP-NP-2,,880,430,,,,,
282,CAP-NP-2,,680,350,,,,,
289,1029c3af85768c4190bb7ad29bc67b5,,670,160,,,,,
294,1029c3af85768c4190bb7ad29bc67b5,,670,230,,,,,
295,1029c3af85768c4190bb7ad29bc67b5,,670,200,,,,,
308,CAP-NP-2,,910,160,,,,,
310,CAP-NP-2,,910,120,,,,,
314,S1751-46R,,80,90,,,,,
315,S1751-46R,,80,360,,,,,
317,S1751-46R,,80,50,,,,,
318,1029c3af85768c4190bb7ad29bc67b5,,870,360,,,,,
335,1029c3af85768c4190bb7ad29bc67b5,,1270,320,,,,,
336,1029c3af85768c4190bb7ad29bc67b5,,1270,280,,,,,
337,1029c3af85768c4190bb7ad29bc67b5,,1270,240,,,,,
338,1029c3af85768c4190bb7ad29bc67b5,,1270,200,,,,,
344,1029c3af85768c4190bb7ad29bc67b5,,1300,450,,,,,
345,1029c3af85768c4190bb7ad29bc67b5,,1300,410,,,,,
360,PS1240P02BT,,490,190,,,,,
364,1029c3af85768c4190bb7ad29bc67b5,,440,110,,,,,
367,1029c3af85768c4190bb7ad29bc67b5,,440,70,,,,,
377,1029c3af85768c4190bb7ad29bc67b5,,640,670,,,,,
378,1029c3af85768c4190bb7ad29bc67b5,,640,640,,,,,
395,RES-2,,1310,370,,,,,
396,RES-2,,450,670,,,,,
399,CAP-NP-2,,1480,360,,,,,
401,b4654b650e69147ec39a6b967a45e02,,1460,330,,,,,
