object_id,seq,lib,desc,x,y,designator,comment,manufacturer,mpn,pin_count
2875,2876,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,1220,830,R?,10kR,,,2
1361,1362,b4654b650e69147ec39a6b967a45e02,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 25V",490,850,C?,10uF,,,2
1249,1250,02cd4be3c70576c341d710602a673aa,Multi-Layer Ceramic Capacitor 1uF 25V X7R ±10% 0603 Paper T/R,290,860,C?,1uF,,,2
2034,2035,1029c3af85768c4190bb7ad29bc67b5,22O ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant,650,870,R?,22R,,,2
1206,1207,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",310,890,C?,100nF,,,2
1274,1275,02cd4be3c70576c341d710602a673aa,Multi-Layer Ceramic Capacitor 1uF 25V X7R ±10% 0603 Paper T/R,490,890,C?,1uF,,,2
1986,1987,1029c3af85768c4190bb7ad29bc67b5,22O ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant,650,920,R?,22R,,,2
1303,1304,1029c3af85768c4190bb7ad29bc67b5,RES 100kO 1.00% 0.2W 0603,240,930,R?,100kR,,,2
1120,1121,1029c3af85768c4190bb7ad29bc67b5,1.3kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant,500,930,R?,1.3kR,,,2
660,661,PM-REG-STCS1A-IL9,"1.5A Max Constant Current LED driver, 8-Pin VDFPN, Tape and Reel",1190,950,U?,STCS1APUR,,,9
1074,1075,02cd4be3c70576c341d710602a673aa,Ceramic Capacitor for Automotive 3.3nF  ±5% 50VDC C0G 0603 Paper T/R,290,980,C?,3.3nF,,,2
3219,3220,02cd4be3c70576c341d710602a673aa,Multi-Layer Ceramic Capacitor 1uF 25V X7R ±10% 0603 Paper T/R,1130,1000,C?,1uF,,,2
1332,1333,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,550,1020,R?,10kR,,,2
415,416,e7c17a616881a82b79941196b4bec10,CONN RCPT USB2.0 TYPEC 5A,100,1030,J?,USB4105-GF-A,,,16
3176,3177,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",1150,1030,C?,100nF,,,2
556,557,be8a6ed96e7e7970ff670e6b7a0d8cd,IC PWR MGMT EFUSE 2.7-18V 8WSON,310,1040,U?,TPS259531DSGR,,,9
28,29,ESP32-S3-WROOM-1U-N16R8,Integrated Circuit,740,1040,IC?,ESP32-S3-WROOM-1U-N16R8,Espressif Systems,ESP32-S3-WROOM-1U-N16R8,49
346,347,MOLX-52271-0679,"1.0 mm Pitch Easy-On(TM) Type FPC Connector, 3.0 mm Mated Height, Right Angle, ZIF, SMT, Bottom Contact, 6 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel",1320,1070,J?,52271-0679,,,8
142,143,MOLX-54132-4062,"0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Bottom Contact, 40 Circuits, -20 to 85 degC, ELV and RoHS Compliant, Tape and Reel",1500,1070,J?,54132-4062,,,42
